x 	 274 	 x
x 	 275 	 x
109143 	 276 	 0
x 	 277 	 x
110317 	 278 	 200.893
110595 	 279 	 277.96
111079 	 280 	 484.168
x 	 281 	 x
111313 	 282 	 234.163
111919 	 283 	 294.489
x 	 284 	 x
x 	 285 	 x
113939 	 286 	 1082.55
x 	 287 	 x
x 	 288 	 x
113987 	 289 	 114.324
114259 	 290 	 320.587
114348 	 291 	 88.4802
114837 	 292 	 163.585
x 	 293 	 x
116046 	 294 	 0
117145 	 295 	 498.622
117833 	 296 	 687.544
118379 	 297 	 1132.03
x 	 298 	 x
118456 	 299 	 710.698
119150 	 300 	 988.446
119354 	 301 	 609.927
x 	 302 	 x
x 	 303 	 x
x 	 304 	 x
x 	 305 	 x
121107 	 306 	 0
121707 	 307 	 0
121818 	 308 	 0
123062 	 309 	 755.385
x 	 310 	 x
x 	 311 	 x
x 	 312 	 x
124006 	 313 	 0
x 	 314 	 x
x 	 315 	 x
125338 	 316 	 149.705
125484 	 317 	 146.802
x 	 318 	 x
x 	 319 	 x
126644 	 320 	 0
x 	 321 	 x
x 	 322 	 x
127572 	 323 	 0
x 	 324 	 x
128543 	 325 	 0
x 	 326 	 x
128772 	 327 	 0
129334 	 328 	 0
129632 	 329 	 0
130157 	 330 	 0
130570 	 331 	 0
131312 	 332 	 308.571
133057 	 333 	 1744.94
133588 	 334 	 1810.16
133948 	 335 	 1838.98
134416 	 336 	 1954.1
x 	 337 	 x
134749 	 338 	 1692.02
136429 	 339 	 2977.04
136583 	 340 	 2994.5
x 	 341 	 x
136637 	 342 	 1287.93
136706 	 343 	 123.434
x 	 344 	 x
x 	 345 	 x
137127 	 346 	 490.895
137832 	 347 	 1125.87
139825 	 348 	 2796.49
x 	 349 	 x
142385 	 350 	 5078.99
143933 	 351 	 6100.67
143972 	 352 	 5658.91
144441 	 353 	 5673.71
144657 	 354 	 5470.42
146693 	 355 	 7072.92
x 	 356 	 x
x 	 357 	 x
146777 	 358 	 3792.07
x 	 359 	 x
x 	 360 	 x
147114 	 361 	 3528.35
147871 	 362 	 3938.69
x 	 363 	 x
x 	 364 	 x
148387 	 365 	 3129.3
x 	 366 	 x
149651 	 367 	 3793.28
x 	 368 	 x
x 	 369 	 x
x 	 370 	 x
x 	 371 	 x
x 	 372 	 x
x 	 373 	 x
x 	 374 	 x
150270 	 375 	 2398.1
150612 	 376 	 2537.12
x 	 377 	 x
x 	 378 	 x
x 	 379 	 x
150780 	 380 	 1129.3
150853 	 381 	 1008.48
151113 	 382 	 843.725
x 	 383 	 x
x 	 384 	 x
152068 	 385 	 241.057
x 	 386 	 x
x 	 387 	 x
153167 	 388 	 0
x 	 389 	 x
153635 	 390 	 0
154109 	 391 	 263.781
154154 	 392 	 44.8741
x 	 393 	 x
x 	 394 	 x
155980 	 395 	 0
x 	 396 	 x
156234 	 397 	 0
x 	 398 	 x
157487 	 399 	 0
157511 	 400 	 0
x 	 401 	 x
158087 	 402 	 0
x 	 403 	 x
158679 	 404 	 0
x 	 405 	 x
x 	 406 	 x
160037 	 407 	 0
160196 	 408 	 0
x 	 409 	 x
160637 	 410 	 0
161534 	 411 	 0
161574 	 412 	 0
161843 	 413 	 0
x 	 414 	 x
162772 	 415 	 0
163177 	 416 	 173.34
x 	 417 	 x
x 	 418 	 x
164952 	 419 	 249.467
x 	 420 	 x
165712 	 421 	 760.404
166413 	 422 	 1033.9
x 	 423 	 x
x 	 424 	 x
x 	 425 	 x
x 	 426 	 x
x 	 427 	 x
x 	 428 	 x
168777 	 429 	 0
x 	 430 	 x
x 	 431 	 x
169789 	 432 	 0
170389 	 433 	 0
x 	 434 	 x
x 	 435 	 x
171236 	 436 	 0
x 	 437 	 x
x 	 438 	 x
x 	 439 	 x
x 	 440 	 x
x 	 441 	 x
173520 	 442 	 0
x 	 443 	 x
174334 	 444 	 0
174934 	 445 	 0
175481 	 446 	 0
x 	 447 	 x
x 	 448 	 x
176010 	 449 	 0
176678 	 450 	 378.818
x 	 451 	 x
x 	 452 	 x
x 	 453 	 x
x 	 454 	 x
x 	 455 	 x
x 	 456 	 x
179918 	 457 	 0
x 	 458 	 x
x 	 459 	 x
x 	 460 	 x
181490 	 461 	 0
182090 	 462 	 0
182690 	 463 	 0
183087 	 464 	 0
x 	 465 	 x
183261 	 466 	 0
183687 	 467 	 0
x 	 468 	 x
x 	 469 	 x
x 	 470 	 x
x 	 471 	 x
x 	 472 	 x
186274 	 473 	 0
186874 	 474 	 0
187038 	 475 	 0
187195 	 476 	 0
x 	 477 	 x
188114 	 478 	 0
188337 	 479 	 0
x 	 480 	 x
x 	 481 	 x
190208 	 482 	 397.44
x 	 483 	 x
x 	 484 	 x
x 	 485 	 x
x 	 486 	 x
191235 	 487 	 0
191582 	 488 	 0
192142 	 489 	 38.9604
192390 	 490 	 0
x 	 491 	 x
193376 	 492 	 0
194809 	 493 	 1058.1
195537 	 494 	 1354.01
x 	 495 	 x
196871 	 496 	 2062.37
197057 	 497 	 1916.69
198469 	 498 	 3007.3
200505 	 499 	 4967.69
200701 	 500 	 4589.87
x 	 501 	 x
x 	 502 	 x
200889 	 503 	 3140.1
201439 	 504 	 3090.37
202500 	 505 	 4031.04
202614 	 506 	 1725.22
x 	 507 	 x
204293 	 508 	 2991.75
205514 	 509 	 4074.88
207426 	 510 	 5937.76
207867 	 511 	 5966.21
208495 	 512 	 5281.66
208618 	 513 	 2503.8
209877 	 514 	 1259.84
x 	 515 	 x
x 	 516 	 x
210291 	 517 	 1195.91
x 	 518 	 x
x 	 519 	 x
210776 	 520 	 1558.55
211098 	 521 	 1402.82
x 	 522 	 x
x 	 523 	 x
x 	 524 	 x
211480 	 525 	 1662.72
211725 	 526 	 1847.16
212041 	 527 	 1745.07
x 	 528 	 x
212135 	 529 	 1243.65
212203 	 530 	 827.381
214235 	 531 	 2031.87
x 	 532 	 x
x 	 533 	 x
x 	 534 	 x
x 	 535 	 x
x 	 536 	 x
x 	 537 	 x
214597 	 538 	 1862.37
x 	 539 	 x
217333 	 540 	 2135.09
x 	 541 	 x
x 	 542 	 x
x 	 543 	 x
x 	 544 	 x
x 	 545 	 x
x 	 546 	 x
x 	 547 	 x
x 	 548 	 x
219335 	 549 	 0
x 	 550 	 x
x 	 551 	 x
x 	 552 	 x
219783 	 553 	 0
x 	 554 	 x
x 	 555 	 x
x 	 556 	 x
x 	 557 	 x
219818 	 558 	 0
x 	 559 	 x
x 	 560 	 x
x 	 561 	 x
220997 	 562 	 1061.64
x 	 563 	 x
x 	 564 	 x
221226 	 565 	 842.652
223514 	 566 	 2548.23
224571 	 567 	 3095.18
x 	 568 	 x
x 	 569 	 x
225437 	 570 	 2464.5
225772 	 571 	 2258.55
227643 	 572 	 4071.29
227800 	 573 	 3686.43
228515 	 574 	 4218.51
228964 	 575 	 3191.84
x 	 576 	 x
230429 	 577 	 4392.03
x 	 578 	 x
x 	 579 	 x
x 	 580 	 x
x 	 581 	 x
231294 	 582 	 3650.57
x 	 583 	 x
231323 	 584 	 2808.07
231928 	 585 	 2364.29
x 	 586 	 x
232046 	 587 	 1882.21
x 	 588 	 x
232232 	 589 	 1803.41
233225 	 590 	 2460.97
