110317 	 280 	 50.9561
x 	 281 	 x
111025 	 282 	 0
111322 	 283 	 0
x 	 284 	 x
x 	 285 	 x
112256 	 286 	 0
x 	 287 	 x
x 	 288 	 x
113272 	 289 	 0
113872 	 290 	 348.608
114073 	 291 	 0
114546 	 292 	 0
x 	 293 	 x
115446 	 294 	 0
116046 	 295 	 161.322
116646 	 296 	 400.549
117145 	 297 	 492.526
x 	 298 	 x
117562 	 299 	 0
118144 	 300 	 0
118478 	 301 	 0
x 	 302 	 x
x 	 303 	 x
x 	 304 	 x
x 	 305 	 x
120507 	 306 	 0
121107 	 307 	 329.598
121707 	 308 	 383.961
121818 	 309 	 166.03
x 	 310 	 x
x 	 311 	 x
x 	 312 	 x
123406 	 313 	 0
x 	 314 	 x
x 	 315 	 x
124588 	 316 	 0
125188 	 317 	 147.56
x 	 318 	 x
x 	 319 	 x
126114 	 320 	 0
x 	 321 	 x
x 	 322 	 x
127125 	 323 	 0
x 	 324 	 x
127943 	 325 	 0
x 	 326 	 x
128734 	 327 	 0
129132 	 328 	 0
129557 	 329 	 0
129970 	 330 	 0
130403 	 331 	 0
130833 	 332 	 0
131178 	 333 	 0
131509 	 334 	 0
131862 	 335 	 0
132138 	 336 	 0
x 	 337 	 x
132852 	 338 	 0
133296 	 339 	 0
133528 	 340 	 0
x 	 341 	 x
134749 	 342 	 734.13
136429 	 343 	 2162.15
x 	 344 	 x
x 	 345 	 x
136583 	 346 	 792.57
136637 	 347 	 677.814
136706 	 348 	 356.937
x 	 349 	 x
137265 	 350 	 0
137713 	 351 	 0
138167 	 352 	 0
138587 	 353 	 0
139020 	 354 	 0
139338 	 355 	 0
x 	 356 	 x
x 	 357 	 x
142385 	 358 	 1868.61
x 	 359 	 x
x 	 360 	 x
142985 	 361 	 1069.91
143585 	 362 	 1256.24
x 	 363 	 x
x 	 364 	 x
144657 	 365 	 1333.17
x 	 366 	 x
145257 	 367 	 926.141
x 	 368 	 x
x 	 369 	 x
x 	 370 	 x
x 	 371 	 x
x 	 372 	 x
x 	 373 	 x
x 	 374 	 x
147475 	 375 	 0
147871 	 376 	 61.9549
x 	 377 	 x
x 	 378 	 x
x 	 379 	 x
149245 	 380 	 0
149710 	 381 	 0
150195 	 382 	 0
x 	 383 	 x
x 	 384 	 x
151227 	 385 	 0
x 	 386 	 x
x 	 387 	 x
152567 	 388 	 0
x 	 389 	 x
153245 	 390 	 0
153635 	 391 	 33.0329
154048 	 392 	 0
x 	 393 	 x
x 	 394 	 x
155380 	 395 	 0
x 	 396 	 x
156215 	 397 	 0
x 	 398 	 x
156887 	 399 	 0
157487 	 400 	 175.352
x 	 401 	 x
158079 	 402 	 0
x 	 403 	 x
158649 	 404 	 0
x 	 405 	 x
x 	 406 	 x
159596 	 407 	 0
160037 	 408 	 176.245
x 	 409 	 x
160364 	 410 	 0
160974 	 411 	 0
161534 	 412 	 244.191
161614 	 413 	 0
x 	 414 	 x
162404 	 415 	 0
162820 	 416 	 0
x 	 417 	 x
x 	 418 	 x
164102 	 419 	 0
x 	 420 	 x
164779 	 421 	 0
165295 	 422 	 0
x 	 423 	 x
x 	 424 	 x
x 	 425 	 x
x 	 426 	 x
x 	 427 	 x
x 	 428 	 x
168177 	 429 	 0
x 	 430 	 x
x 	 431 	 x
169189 	 432 	 0
169789 	 433 	 226.391
x 	 434 	 x
x 	 435 	 x
170636 	 436 	 0
x 	 437 	 x
x 	 438 	 x
x 	 439 	 x
x 	 440 	 x
x 	 441 	 x
172920 	 442 	 0
x 	 443 	 x
173734 	 444 	 0
174334 	 445 	 163.424
174934 	 446 	 436.046
x 	 447 	 x
x 	 448 	 x
175699 	 449 	 0
176105 	 450 	 0
x 	 451 	 x
x 	 452 	 x
x 	 453 	 x
x 	 454 	 x
x 	 455 	 x
x 	 456 	 x
179318 	 457 	 0
x 	 458 	 x
x 	 459 	 x
x 	 460 	 x
180890 	 461 	 0
181490 	 462 	 346.198
182090 	 463 	 490.179
182690 	 464 	 691.887
x 	 465 	 x
183087 	 466 	 152.492
183299 	 467 	 0
x 	 468 	 x
x 	 469 	 x
x 	 470 	 x
x 	 471 	 x
x 	 472 	 x
